          18
       40500
 non-polarized
    2.72500000    2.72500000    0.00000000
    2.72500000    0.00000000    2.72500000
    0.00000000    2.72500000    2.72500000
rcell x   rcell y   rcell z   i   j   H   S
  -10.9000  -10.9000  -10.9000       5       3   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       5       4    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       5       5   -0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000       5       6    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       5       7    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       5       8   -0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000       5       9    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       5      10    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       5      11    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000       5      12   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       5      13    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       5      14    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000       5      15    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       5      16    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       5      17    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000       5      18   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       6       1    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       6       2   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       6       3   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       6       4    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000       6       5    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       6       6   -0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000       6       7    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       6       8   -0.00000000    0.00000000   -0.00000000
