          18
       40500
 non-polarized
    2.71550000    2.71550000    0.00000000
    2.71550000    0.00000000    2.71550000
    0.00000000    2.71550000    2.71550000
rcell x   rcell y   rcell z   i   j   H   S
  -10.8620  -10.8620  -10.8620       5       3   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       5       4    0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       5       5    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       5       6    0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       5       7    0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       5       8    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       5       9   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       5      10    0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       5      11    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       5      12   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       5      13    0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       5      14    0.00000001    0.00000000   -0.00000001
  -10.8620  -10.8620  -10.8620       5      15    0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       5      16    0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       5      17    0.00000001    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       5      18   -0.00000001    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       6       1    0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       6       2   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       6       3   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       6       4    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       6       5    0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       6       6    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       6       7   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       6       8    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       6       9    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       6      10    0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       6      11   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       6      12   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       6      13    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       6      14    0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       6      15    0.00000001    0.00000000   -0.00000001
  -10.8620  -10.8620  -10.8620       6      16   -0.00000001    0.00000000    0.00000001
  -10.8620  -10.8620  -10.8620       6      17    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       6      18    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       7       1   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       7       2   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       7       3   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       7       4   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       7       5    0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       7       6   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       7       7   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       7       8   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       7       9   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       7      10   -0.00000001    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       7      11   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       7      12   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       7      13   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       7      14    0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       7      15   -0.00000001    0.00000000    0.00000001
  -10.8620  -10.8620  -10.8620       7      16   -0.00000004    0.00000000    0.00000003
  -10.8620  -10.8620  -10.8620       7      17   -0.00000005    0.00000000    0.00000004
  -10.8620  -10.8620  -10.8620       7      18   -0.00000005    0.00000000    0.00000004
  -10.8620  -10.8620  -10.8620       8       1   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       8       2   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       8       3   -0.00000000    0.00000000    0.00000000
